Year,CAR,NEA,NEF,NPL,NWP,Total
2019,15.26277409,6.617496157,5.357061205,7.518079673,6.419500193,6.033969955
2019,13.56691031,5.696072642,4.699315524,6.614006801,5.802938028,5.313925807
2019,13.56691031,6.282433061,5.040075335,6.970877672,6.600842006,5.731551413
2019,15.26277409,6.114901512,4.754788052,6.756755149,6.020548204,5.433933165
2019,20.35036546,5.86360419,4.778561992,6.851920715,6.056816566,5.47233552
2019,15.26277409,5.612306868,4.398178948,6.447467061,5.403986038,5.045109326
2019,16.95863788,5.612306868,4.532897943,6.732963758,5.549059489,5.208319332
2019,13.56691031,5.696072642,4.421952888,6.709172366,5.730401302,5.155516095
2019,15.26277409,5.528541093,4.406103595,6.59021541,5.440254401,5.078711386
2019,15.26277409,5.947369964,4.889507047,7.185000194,6.093084929,5.601943466
2019,15.26277409,5.947369964,4.889507047,6.875712106,6.093084929,5.53953964
2019,15.26277409,6.282433061,5.166869683,7.755993587,6.23815838,5.923563186
2020,11.78967225,6.409744143,5.602421564,9.321624679,7.61307481,6.680442144
2020,20.21086671,5.91028356,4.998238847,7.689157413,6.751217284,5.86679855
2020,16.84238892,6.160013852,5.327793056,8.801127869,7.61307481,6.409227613
2020,16.84238892,5.993526991,6.426307088,8.422584735,7.182146047,6.932624077
2020,20.21086671,6.076770421,5.963361889,8.115018439,6.858949475,6.561488403
2020,20.21086671,5.327579547,4.707917281,7.87842898,6.499842172,5.662198114
2020,20.21086671,5.660553269,4.731456867,8.233313168,6.858949475,5.814458903
2020,16.84238892,5.577309839,4.762842983,8.327948952,7.146235317,5.876314849
2020,18.52662782,5.660553269,4.817768684,8.28063106,6.930770935,5.881072999
2020,20.21086671,5.91028356,5.265020826,9.014058382,7.289878237,6.366404266
2020,13.47391114,6.076770421,5.421951402,9.747485705,7.720807,6.656651396
2020,20.21086671,6.076770421,5.845663957,11.1906814,8.582664526,7.3370668
