T10,T90,Total_044,Total_4564,Total_6584,Total_85
7.571523105,-1.327042221,5.355628857,0.275771601,0.745012852,11.42297827
-1.853518932,-0.197433914,5.083820625,0.428861841,2.418244243,14.22011724
-4.104618038,10.11036769,5.073753654,0.18885009,1.716249029,8.216382053
-1.461119211,-9.097459629,4.75664405,0.314094263,3.140497173,10.93107301
-1.292353264,5.557715964,4.766711022,-0.4907382,-3.303791116,-13.16477246
-2.547631532,2.875506736,4.842213308,0.768223423,4.858171654,23.88690242
1.902191978,3.723255505,4.897581652,0.909530747,5.852320123,28.59062402
-3.675783552,6.427700951,5.174423369,-0.558594766,-3.323105129,-13.46790497
10.69261441,-0.861438184,5.229791712,1.326333925,7.419600104,42.07151459
-3.952415491,6.825722091,5.879111376,1.544205123,6.013122987,49.9241478
-1.667291809,6.907737556,6.313580038,2.32904066,11.7492226,80.85495251
9.04479089,13.22797411,5.232831863,-0.69583464,1.068464389,-15.88591807
-0.860297206,13.72731654,5.544489476,0.428906426,0.918786241,16.75878636
-0.492574091,-7.211285855,5.162457563,-0.222486579,1.172108885,-4.567157716
-2.230731071,12.53609423,5.152404092,-0.111497627,-0.156543919,-4.709864168
-1.628982471,9.426828905,4.664810729,-0.977642678,-3.461453975,-30.10641154
0.451258621,0.747179238,4.835719743,-0.331214262,-0.684308171,-10.02260406
0.739790577,-8.818104513,4.795505857,-0.385926541,-0.822702845,-11.33901766
0.928026513,-10.39652652,4.785452386,-0.017719918,0.200976914,0.07410793
-3.699905994,12.62220607,5.227805127,0.136311196,1.673895272,9.721786346
-1.401265543,-4.863526846,5.046842642,-0.805982275,-5.172300747,-24.12828693
-2.912722178,-2.841574146,5.373580462,-1.14717463,-8.550949811,-32.42751909
-2.636256153,6.153208286,5.71747102,-0.53401318,-6.997364638,-56.27624508
-1.471441196,9.731912703,5.368236315,2.20589226,12.13771649,61.55578619
-3.423082995,9.21043304,5.787317961,0.114200791,-1.401551193,-14.04171822
2.065656955,24.17878006,5.363247248,0.1685418,0.962446019,-2.337977966
-2.398862967,-0.142227576,5.278433106,0.252157429,1.321552014,-1.501792978
-0.517530377,-4.727231135,4.939176535,0.04943888,1.078863206,-6.747992007
-0.966422814,-1.198360281,5.068892283,-0.010525535,-0.093514756,-10.32994336
-1.617839999,2.555124785,5.128761089,0.753791534,4.346843488,16.73332651
-0.426543818,-9.360773086,5.033968812,-0.091257262,-0.333839317,-9.036271706
0.63351111,-2.090406525,5.527886466,0.915305069,3.262293581,22.01573205
-3.545827214,16.09464552,5.37821445,-0.286258808,-0.298379556,-12.39485008
5.751122808,-13.35607398,5.936989977,0.121798275,-2.090002017,-5.585449635
0.196396149,-6.485878608,6.683957021,1.472007955,7.262458213,70.67745915
0.159062911,-1.220041798,5.681116463,-0.015325916,0.913576824,5.172506255
6.528605998,-4.474704053,6.036803754,0.138614717,-0.701211717,14.04554287
-4.464725396,4.543449453,5.55267383,-0.623870465,-1.272004407,-12.43793438
-0.865847514,1.14796693,5.523033222,0.024007052,0.411150755,5.93280163
0.224129548,-0.079918376,5.162405829,-0.01270625,2.17789824,5.08464196
-1.027747861,-2.44777334,5.305668766,-0.165079581,-0.103797464,-1.032000271
0.412292396,6.670457456,5.32048907,0.191116321,2.018909226,10.07411944
-0.832541148,4.362124828,5.295788564,0.154093669,2.643234808,10.09774097
-1.127066342,-3.123496307,5.646535754,-0.575585202,-4.68608069,-15.10761633
3.398546761,-4.368187865,5.745337779,1.073790955,6.874363623,36.47499498
2.056054409,6.620881892,6.244288008,0.077245219,1.353834118,7.244151657
-0.548278605,-3.442639236,6.973004248,2.795169851,16.40663039,105.0749836
1.841850165,-4.573882422,5.794605485,-1.142547783,-3.272549028,-23.37145309
-5.45082027,-4.941492838,6.120856382,0.112423433,-0.539623238,10.68960571
8.646238225,0.772501807,5.72156424,-0.149678117,2.270432844,-0.007216447
-2.582604151,8.146229035,5.609567663,-0.676984149,-2.967024729,-17.17960718
1.888832822,-3.318616978,5.307663848,0.342652059,3.294057157,12.49174006
-2.152902769,9.225950556,5.390443926,-0.561448525,-1.206023493,-10.91830494
-0.008543218,1.87286282,5.380705093,-0.211774141,-1.124248092,-6.127734591
4.704600474,-4.358198606,5.351488595,0.088046768,1.733096645,7.308905403
7.695502008,10.52176896,5.799474902,-0.292214689,-1.611636861,-5.043009132
2.003681837,8.993202061,5.755650154,0.203796641,0.495884483,8.031688304
-5.517932137,-2.684759333,6.047815137,-1.279794929,-8.341132918,-33.64777134
-1.08140106,-4.345275051,6.033969955,-1.032742018,-7.327761444,-30.31199773
14.47630587,-11.35826218,5.313925807,-0.171678389,2.589126098,-4.837196074
0.886676799,12.7677282,5.731551413,-0.448328508,-1.892168197,-9.705150193
-6.150166322,-0.573388003,5.433933165,0.132725479,2.829785872,4.650506057
-0.165921502,7.587548436,5.47233552,0.231865835,3.077372377,9.921510325
-1.346332852,2.099430929,5.045109326,-0.102468796,1.081300659,-2.165103143
-2.084519666,5.971702986,5.208319332,0.186051728,2.180142281,7.660457127
1.422629703,-2.033194529,5.155516095,-0.328628661,0.120472192,-10.48225264
-1.128007032,3.158108,5.078711386,-0.119248134,0.406726862,-3.689238607
6.65484296,-9.553006753,5.601943466,0.392939965,2.71312592,13.13384567
4.159229148,11.23894977,5.53953964,0.110703684,1.454928279,5.775616389
-4.305966995,-1.057837577,5.923563186,-0.81632142,-3.301414771,-24.90230157
-0.937103483,-6.977341051,6.680442144,-0.468786811,-7.30048813,-48.15873322
-4.255823259,-6.320569673,5.86679855,0.58002315,2.965675073,10.13580936
-1.983683995,-5.988986591,6.409227613,0.405033554,-0.959904773,-3.258243827
7.356965622,2.388189724,6.932624077,6.454702094,32.71391739,202.6599079
2.023651834,6.597539931,6.561488403,0.006717209,1.641888409,-0.958101017
0.842973661,-8.106295621,5.662198114,-1.054078968,-7.120950461,-39.53944447
-1.639337423,-2.608208376,5.814458903,0.88406267,4.090323397,15.5705817
-0.935066937,-0.430535781,5.876314849,0.300297651,1.229836221,-1.523007664
1.689589986,7.186417403,5.881072999,0.453981283,2.503852944,4.162728676
10.52770142,2.055835703,6.366404266,0.332900869,0.322586484,2.777393078
-1.380555038,-5.872610125,6.656651396,2.209390038,10.71934623,61.09415709
-7.179504056,5.791318059,7.3370668,1.366983059,5.749767036,34.36188268
